frame,is_boundary,support_area,object_luma_median,brown_shell_luma_median,brown_shell_luma_p25,brown_shell_fraction,cool_spot_fraction,background_luma_median,brown_to_background_ratio,temporal_luma_l1
16,0,30276,38.779598236083984,38.71659851074219,30.30459976196289,0.8374289866560972,0.06113753468093539,85.33580017089844,0.4536970257759094,4.351794719696045
17,0,30288,36.350399017333984,36.350399017333984,29.28219985961914,0.832838087691495,0.06312731114632858,85.33580017089844,0.4259689152240753,2.9208970069885254
18,0,30323,35.426597595214844,35.350399017333984,28.916000366210938,0.8352405764601127,0.06325231672327936,85.11280059814453,0.41533586382865906,4.024404525756836
19,0,30213,35.04600143432617,34.91600036621094,28.564199447631836,0.8308675073643795,0.0675206037136332,84.97760009765625,0.4108847677707672,3.30361008644104
20,0,29942,33.20600128173828,33.14579772949219,27.85300064086914,0.8239262574310333,0.07030258499766215,84.97760009765625,0.3900533616542816,3.5742619037628174
21,1,29960,33.914798736572266,33.779598236083984,28.282201766967773,0.8190921228304406,0.06839118825100134,84.97760009765625,0.3975117802619934,4.475060939788818
22,0,29951,36.219200134277344,35.572200775146484,31.22319984436035,0.7965677272879036,0.08764315047911589,84.83319854736328,0.4193193316459656,5.597392559051514
23,0,30038,36.648399353027344,35.79280090332031,31.22319984436035,0.768726280045276,0.0984086823357081,84.83319854736328,0.42191973328590393,7.007669925689697
24,0,30635,37.779598236083984,36.36759948730469,31.648399353027344,0.7559980414558511,0.09763342582014037,84.77020263671875,0.4290139377117157,9.85783863067627
25,0,30736,38.937198638916016,38.290199279785156,32.3411979675293,0.7873828735033837,0.06354112441436752,84.57359313964844,0.45274415612220764,8.990880012512207
26,0,28231,39.802001953125,39.1682014465332,32.71659851074219,0.8532818532818532,0.06737274627182883,84.14720153808594,0.46547242999076843,5.787691116333008
27,0,28373,40.801998138427734,40.14299774169922,33.71659851074219,0.8597610404257569,0.06925598280054981,83.97760009765625,0.4780203104019165,5.069680213928223
28,0,28226,42.31659698486328,41.290199279785156,34.572200775146484,0.8636363636363636,0.06713668249132006,83.86759948730469,0.4923259913921356,7.390113353729248
29,0,27997,40.512001037597656,39.92400360107422,34.572200775146484,0.8692002714576562,0.07157909776047433,83.83319854736328,0.4762314260005951,7.9066009521484375
30,0,28007,36.231201171875,35.937198638916016,32.802001953125,0.8647123933302389,0.06284143249901811,83.77019500732422,0.4289974272251129,12.152517318725586
31,0,31563,33.22319793701172,33.79280090332031,29.572200775146484,0.7447644393752179,0.05788423153692615,83.83319854736328,0.40309569239616394,11.018877029418945
32,0,33057,29.792800903320312,32.143001556396484,26.852998733520508,0.7180022385576429,0.05699246755603957,83.82119750976562,0.3834710419178009,8.341242790222168
33,1,33515,41.65760040283203,42.321197509765625,35.32579803466797,0.7335223034462182,0.05561688796061465,83.19820404052734,0.508679211139679,13.125401496887207
34,0,33562,46.231201171875,46.06159973144531,35.648399353027344,0.677522197723616,0.061021393242357426,82.97760009765625,0.5551088452339172,5.540651798248291
35,0,33569,47.87820053100586,46.648399353027344,34.794002532958984,0.6144955166969526,0.08853406416634395,82.97760009765625,0.5621806383132935,4.357850551605225
36,0,33460,48.755001068115234,46.94119644165039,34.93720245361328,0.5826060968320382,0.10065750149432158,82.27279663085938,0.5705555081367493,4.267510414123535
37,0,33388,49.1682014465332,48.937198638916016,38.71659851074219,0.6654187133101713,0.07679405774529771,82.51459503173828,0.5930732488632202,5.988082408905029
38,0,33132,50.18020248413086,49.87820053100586,39.60660171508789,0.6574308825304841,0.08279005191355789,82.70719909667969,0.6030696630477905,3.675732374191284
39,0,32923,51.09480285644531,50.6576042175293,40.793100357055664,0.6405856088448805,0.08936002186920998,82.55120086669922,0.6136507391929626,4.07450532913208
40,0,32902,51.836402893066406,50.89939880371094,41.59759712219238,0.635523676372257,0.09522217494377241,82.41719818115234,0.6175822615623474,3.24910044670105
41,0,32806,51.18020248413086,50.31660079956055,42.57220458984375,0.6600012192891545,0.1022983600560873,81.8292007446289,0.6148978471755981,5.375860214233398
