block,latent_frame,metric,mean,owner_mean
3,2,causal_owner_support,0.07948717948717948,1.0
3,0,causal_owner_transport,0.04394753090798473,0.5147100942990472
3,1,causal_owner_transport,0.0469102297075248,0.5267489526060319
3,2,causal_owner_transport,0.05092197080778603,0.537684753537178
3,0,causal_owner_weight,0.04091285364941145,0.5147100942990472
3,1,causal_owner_weight,0.041869788540479465,0.5267489526060319
3,2,causal_owner_weight,0.04273904451192954,0.537684753537178
3,0,factorized_source_residual_action,0.6807149303327792,nan
3,1,factorized_source_residual_action,0.6251517424123297,nan
3,2,factorized_source_residual_action,0.6609395700463583,nan
3,0,factorized_source_value_action,0.6807149303327792,nan
3,1,factorized_source_value_action,0.6251517424123297,nan
3,2,factorized_source_value_action,0.6609395700463583,nan
3,0,factorized_target_memory_action,0.0941610094922208,nan
3,1,factorized_target_memory_action,0.07948717925793085,nan
3,2,factorized_target_memory_action,0.08989513950759712,nan
3,0,velocity_owner_ignition,0.018680511080683807,0.14645356625588912
3,1,velocity_owner_ignition,0.0,0.0
3,2,velocity_owner_ignition,0.02619258356400025,0.19539177345652733
3,0,velocity_owner_response_likelihood,0.11967661041648497,0.7039182776164624
3,1,velocity_owner_response_likelihood,0.12564356243489713,0.682325129787768
3,2,velocity_owner_response_likelihood,0.12659642157781584,0.6705239407357669
3,0,velocity_owner_signature_similarity,0.42997122757996503,0.4903733359589692
3,1,velocity_owner_signature_similarity,0.4448371833751503,0.5246316328524582
3,2,velocity_owner_signature_similarity,0.4841536569743393,0.515770353587164
3,0,velocity_owner_verification,0.12291928969401246,0.5484061472478413
3,1,velocity_owner_verification,0.12685392937109544,0.5565999147271917
3,2,velocity_owner_verification,0.1385366876794694,0.5365771133482696
3,0,velocity_owner_verified_transport,0.04394753090798473,0.5147100942990472
3,1,velocity_owner_verified_transport,0.0469102297075248,0.5267489526060319
3,2,velocity_owner_verified_transport,0.05092197080778603,0.537684753537178
4,0,causal_owner_confidence,0.10407260148838246,0.7348516292629703
4,1,causal_owner_confidence,0.12064821837404265,0.645178364890237
4,2,causal_owner_confidence,0.12421669481226649,0.670423061977471
4,0,causal_owner_observation,0.029987318192919096,0.24766834927422385
4,1,causal_owner_observation,0.02681961090494998,0.19414342642431298
4,2,causal_owner_observation,0.023350633407393708,0.19720260456444755
4,0,causal_owner_query_cycle_confidence,0.1778120438920251,0.8976674397145549
4,1,causal_owner_query_cycle_confidence,0.2286862463860999,0.795174706847437
4,2,causal_owner_query_cycle_confidence,0.22631519142638376,0.7758431221929288
4,0,causal_owner_support,0.07948717948717948,1.0
4,1,causal_owner_support,0.07948717948717948,1.0
4,2,causal_owner_support,0.07948717948717948,1.0
4,0,causal_owner_transport,0.045924724675028415,0.5213013713157946
4,1,causal_owner_transport,0.0423475060992925,0.4760712452473179
4,2,causal_owner_transport,0.04736287955684253,0.5252489288968425
4,0,causal_owner_weight,0.04143677566869137,0.5213013713157946
4,1,causal_owner_weight,0.037841560519658604,0.4760712452473179
4,2,causal_owner_weight,0.04175055588667209,0.5252489288968425
4,0,factorized_source_residual_action,0.6699879505790436,nan
4,1,factorized_source_residual_action,0.66422006831335,nan
4,2,factorized_source_residual_action,0.6840708421003747,nan
4,0,factorized_source_value_action,0.6699879505790436,nan
4,1,factorized_source_value_action,0.66422006831335,nan
4,2,factorized_source_value_action,0.6840708421003747,nan
4,0,factorized_target_memory_action,0.09172899888195761,nan
4,1,factorized_target_memory_action,0.09125974116606626,nan
4,2,factorized_target_memory_action,0.09005437818405729,nan
4,0,velocity_owner_ignition,0.029987318192919096,0.24766834927422385
4,1,velocity_owner_ignition,0.02681961090494998,0.19414342642431298
4,2,velocity_owner_ignition,0.023350633407393708,0.19720260456444755
4,0,velocity_owner_response_likelihood,0.12034059251665416,0.7565512712444028
4,1,velocity_owner_response_likelihood,0.11722082331390807,0.6621857840687998
4,2,velocity_owner_response_likelihood,0.12373266277399801,0.7383683693985785
4,0,velocity_owner_signature_similarity,0.3150947030305337,0.40137897882490386
4,1,velocity_owner_signature_similarity,0.2667380904074376,0.44190739711085636
4,2,velocity_owner_signature_similarity,0.41105724319887277,0.5027627438126553
4,0,velocity_owner_verification,0.10688210386776914,0.5167760889256193
4,1,velocity_owner_verification,0.09898577205200966,0.4959740350924192
4,2,velocity_owner_verification,0.12100712863537363,0.5702244716155673
4,0,velocity_owner_verified_transport,0.045924724675028415,0.5213013713157946
4,1,velocity_owner_verified_transport,0.0423475060992925,0.4760712452473179
4,2,velocity_owner_verified_transport,0.04736287955684253,0.5252489288968425
5,0,causal_owner_confidence,0.10482785931500331,0.8191268184492665
5,1,causal_owner_confidence,0.10906966187071819,0.7020591088841038
5,2,causal_owner_confidence,0.10730209398301295,0.7377523955318236
5,0,causal_owner_observation,0.017958957076263733,0.14112629377914052
5,1,causal_owner_observation,0.02459460560662242,0.14623058755551616
5,2,causal_owner_observation,0.02525908944244759,0.20101335497512932
5,0,causal_owner_query_cycle_confidence,0.18149866654709443,0.9395628528248879
5,1,causal_owner_query_cycle_confidence,0.18944015237903863,0.819659057884447
5,2,causal_owner_query_cycle_confidence,0.19607659434400376,0.8265659168602959
5,0,causal_owner_support,0.07948717948717948,1.0
5,1,causal_owner_support,0.07948717948717948,1.0
5,2,causal_owner_support,0.07948717948717948,1.0
5,0,causal_owner_transport,0.052961067466113045,0.5983008802417786
5,1,causal_owner_transport,0.048621113160446,0.555468731830197
5,2,causal_owner_transport,0.05021899426714159,0.5606737702844604
5,0,causal_owner_weight,0.04755724945511573,0.5983008802417786
5,1,causal_owner_weight,0.04415264278650284,0.555468731830197
5,2,causal_owner_weight,0.04456637661235455,0.5606737702844604
5,0,factorized_source_residual_action,0.710154130012364,nan
5,1,factorized_source_residual_action,0.6821746557247818,nan
5,2,factorized_source_residual_action,0.6578395930642728,nan
5,0,factorized_source_value_action,0.710154130012364,nan
5,1,factorized_source_value_action,0.6821746557247818,nan
5,2,factorized_source_value_action,0.6578395930642728,nan
5,0,factorized_target_memory_action,0.0916521232024071,nan
5,1,factorized_target_memory_action,0.0911820761494096,nan
5,2,factorized_target_memory_action,0.09597158641362488,nan
5,0,velocity_owner_ignition,0.017958957076263733,0.14112629377914052
5,1,velocity_owner_ignition,0.02459460560662242,0.14623058755551616
5,2,velocity_owner_ignition,0.02525908944244759,0.20101335497512932
5,0,velocity_owner_response_likelihood,0.12550621582867721,0.7734094116716616
5,1,velocity_owner_response_likelihood,0.12800053520059476,0.7601255133988396
5,2,velocity_owner_response_likelihood,0.13129924541830965,0.7608773677099135
5,0,velocity_owner_signature_similarity,0.4765833485035751,0.5452532225078152
5,1,velocity_owner_signature_similarity,0.46016990662588236,0.5197396254647644
5,2,velocity_owner_signature_similarity,0.41966794291332077,0.518486789668039
5,0,velocity_owner_verification,0.13948885414850873,0.6201566297921443
5,1,velocity_owner_verification,0.13610659072814413,0.5904811093613745
5,2,velocity_owner_verification,0.1330734109192585,0.5901305837736975
5,0,velocity_owner_verified_transport,0.052961067466113045,0.5983008802417786
5,1,velocity_owner_verified_transport,0.048621113160446,0.555468731830197
5,2,velocity_owner_verified_transport,0.05021899426714159,0.5606737702844604
6,0,causal_owner_confidence,0.09174600754758547,0.7445840261756412
6,1,causal_owner_confidence,0.10654832752457319,0.729846912285974
6,2,causal_owner_confidence,0.11015004225654336,0.7012900742551973
6,0,causal_owner_observation,0.02208941682683638,0.18034644321268123
6,1,causal_owner_observation,0.018772206485319215,0.10752270324155688
6,2,causal_owner_observation,0.025711820752192766,0.15315250778991368
6,0,causal_owner_query_cycle_confidence,0.1645052068611921,0.884535567053864
6,1,causal_owner_query_cycle_confidence,0.1956689280280933,0.8816700792841373
6,2,causal_owner_query_cycle_confidence,0.20050402217001623,0.8334584821376109
6,0,causal_owner_support,0.07948717948717948,1.0
6,1,causal_owner_support,0.07948717948717948,1.0
6,2,causal_owner_support,0.07948717948717948,1.0
6,0,causal_owner_transport,0.041615044400961594,0.5037177983190744
6,1,causal_owner_transport,0.0480494502464866,0.5440411329750092
6,2,causal_owner_transport,0.047869843930582134,0.5403484082029711
6,0,causal_owner_weight,0.04003910704587515,0.5037177983190744
6,1,causal_owner_weight,0.04324429518519304,0.5440411329750092
6,2,causal_owner_weight,0.0429507709084413,0.5403484082029711
6,0,factorized_source_residual_action,0.648559956067579,nan
6,1,factorized_source_residual_action,0.6607422457702341,nan
6,2,factorized_source_residual_action,0.6550541877636125,nan
6,0,factorized_source_value_action,0.648559956067579,nan
6,1,factorized_source_value_action,0.6607422457702341,nan
6,2,factorized_source_value_action,0.6550541877636125,nan
6,0,factorized_target_memory_action,0.09452595202406557,nan
6,1,factorized_target_memory_action,0.09327449491893743,nan
6,2,factorized_target_memory_action,0.09488203212088721,nan
6,0,velocity_owner_ignition,0.02208941682683638,0.18034644321268123
6,1,velocity_owner_ignition,0.018772206485319215,0.10752270324155688
6,2,velocity_owner_ignition,0.025711820752192766,0.15315250778991368
6,0,velocity_owner_response_likelihood,0.12012827286820166,0.7535973570399708
6,1,velocity_owner_response_likelihood,0.12930655233176716,0.7188984811786683
6,2,velocity_owner_response_likelihood,0.13401012763186967,0.7073808081087566
6,0,velocity_owner_signature_similarity,0.26134042589304346,0.4537050203690606
6,1,velocity_owner_signature_similarity,0.3416959253987536,0.4903048487800744
6,2,velocity_owner_signature_similarity,0.4006928813691514,0.5010074922033856
6,0,velocity_owner_verification,0.11203691070848622,0.541946433784981
6,1,velocity_owner_verification,0.13040077029861724,0.5582609668734574
6,2,velocity_owner_verification,0.1331928429816169,0.5564336601284242
6,0,velocity_owner_verified_transport,0.041615044400961594,0.5037177983190744
6,1,velocity_owner_verified_transport,0.0480494502464866,0.5440411329750092
6,2,velocity_owner_verified_transport,0.047869843930582134,0.5403484082029711
